Kingdom	Phylum	Class	Order	Family	Genus	Species
taxon_2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	virosa
taxon_72	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Intestinimonas	butyriciproducens
taxon_3	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Pseudoflavonifractor	capillosus
taxon_162	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Eisenbergiella	tayi
taxon_178	Bacteria	Firmicutes	Clostridia	Clostridiales	Catabacteriaceae	Catabacter	hongkongensis
taxon_108	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	odontolyticus
taxon_18	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Megasphaera	micronuciformis
taxon_80	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	faecis
taxon_107	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lactonifactor	longoviformis
taxon_236	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Holdemania	massiliensis
taxon_209	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	stomatis
taxon_225	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Dialister	pneumosintes
taxon_274	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	sulci
taxon_145	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Allisonella	histaminiformans
taxon_287	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Slackia	equolifaciens
taxon_293	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	durum
taxon_186	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Anaerofustis	stercorihominis
taxon_294	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hominis
taxon_150	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	salivarium
taxon_10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	veroralis
taxon_157	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	epidermidis
taxon_134	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	haemolyticus
taxon_155	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	tannerae
taxon_9	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Runella	slithyformis
taxon_45	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	salivae
taxon_66	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	nucleatum
taxon_213	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI	Finegoldia	magna
taxon_130	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI	Anaerococcus	octavius
taxon_160	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	melaninogenica
taxon_163	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	oris
taxon_176	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	kroppenstedtii
taxon_120	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	nanceiensis
taxon_204	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	rava
taxon_133	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	aureus
taxon_174	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	denticola
